"Hmotost"	"Tarzus"	"KOMPLEMENT"	"Jedinec"	"mereni"
57.5464577289173	107.774147595853	"50.1734592441942"	"a"	"10den"
45.9307703282992	100.074756205934	"42.992523429864"	"b"	"10den"
47.0859650400311	95.385139761261	"46.4920506253281"	"c"	"10den"
109.247797382817	84.4348993154521	"39.7997108512015"	"d"	"10den"
47.9521910864847	84.4577095613829	"59,6065895941408"	"e"	"10den"
56.5731716467492	110.806153521832	"55.5068051421803"	"f"	"10den"
55.7286449251267	103.982768552074	"46.5868362665372"	"g"	"10den"
41.0834496352618	93.8057797086224	"35.2133113258939"	"h"	"10den"
63.8817919554677	111.052318242841	"50.4384564960903"	"i"	"10den"
34.8017458715361	86.0499109304602	"-45.15564"	"j"	"10den"
55.4170989482162	98.1170308109396	"46.2596977529902"	"k"	"10den"
42.6999061574199	95.6790010057265	"54.6489894615662"	"l"	"10den"
49.2377265390015	104.813232066674	"44.2394996833506"	"m"	"10den"
65.1127344210299	122.441325201031	"55.1003551459014"	"n"	"10den"
61.1530205456459	103.682674008342	"53.3850431331347"	"o"	"10den"
61.6972370000137	103.348530147892	"55.4408980022839"	"p"	"10den"
46.092640977356	93.2879903490744	"53.163591717172"	"q"	"10den"
49.062448229041	98.7943539785438	"44.6667087686501"	"r"	"10den"
39.5971468825997	84.2411595312926	"64.0995556122892"	"s"	"10den"
49.4228870345021	93.1245916121088	"554.897"	"t"	"10den"
108.28561570335	155.983573218677	"58.7832938957221"	"a"	"20den"
95.186832486391	138.508358395451	"62.4798152588212"	"b"	"20den"
101.27830031731	145.952057680059	"62.9684245903971"	"c"	"20den"
80.9066899444108	129.640974147531	"72.2684718513662"	"d"	"20den"
93.9882460130484	145.817302917578	"48.8385459743824"	"e"	"20den"
107.614604394079	169.401751192964	"59.8669916927719"	"f"	"20den"
103.464187218113	152.597934379597	"47.994818628114"	"g"	"20den"
91.8352848815702	140.322586742533	"37.5034185089545"	"h"	"20den"
114.743655309365	164.705514413177	"44.6950149845508"	"i"	"20den"
85.8762169461362	138.382025709242	"66.8009657192047"	"j"	"20den"
99.8457944242191	147.401421168132	"35.6233992700308"	"k"	"20den"
97.4937075214658	145.804260922802	"64.9295486714553"	"l"	"20den"
97.3892395219813	145.889765491911	"55.1414688578438"	"m"	"20den"
111.129130212465	153.87395700264	"34.2088279769361"	"n"	"20den"
114.844530458538	165.828723860592	"54.0081292666848"	"o"	"20den"
110.294520996291	158.493641670809	"52.1650907233122"	"p"	"20den"
95.2075311962839	142.822615733974	"46.3760296453284"	"q"	"20den"
100.33340699673	145.959343467546	"49.9879720602269"	"r"	"20den"
90.3944052549026	84.2411595312926	"56.8873904884339"	"s"	"20den"
95.9737330437101	149.041864246928	"58.327900348292"	"t"	"20den"
