Code	Latitude	Longitude	Flow
CH	47.3186	9.1344	34.0
CH	47.5678	7.2167	110.0
CH	47.7178	8.8181	64.0
CH	47.9358	9.2506	126.0
CH	47.6022	8.9172	104.0
CH	47.7019	9.5025	82.0
CH	47.8014	9.1675	103.0
CH	47.7019	9.1356	83.0
CH	47.7025	9.3014	105.0
CH	47.4858	9.6683	68.0
CH	47.4681	9.5514	62.0
CH	47.4342	9.5675	70.0
CH	47.4669	9.7189	115.0
CH	47.3353	9.5169	50.0
CH	47.0514	9.5008	78.0
CH	47.1189	9.4839	46.0
CH	47.1192	9.4689	69.0
CH	47.1192	9.4833	58.0
CH	47.4692	9.0181	97.0
CH	47.4172	9.1356	85.0
CH	47.4511	9.1356	93.0
CH	47.4522	9.4008	100.0
CH	47.4019	9.2189	134.0
CH	47.4022	9.2522	161.0
CH	47.4025	9.2689	187.0
CH	47.2	8.9506	102.0
CH	47.1669	8.4336	65.0
CH	47.2836	8.2856	70.0
CH	46.9681	8.1019	88.0
CH	46.4172	7.7175	62.0
CH	46.5192	8.4344	28.0
CH	46.5503	8.6	50.0
CH	46.5689	8.5672	43.0
CH	46.5692	8.5669	60.0
CH	46.5856	8.5833	55.0
CH	46.6181	8.585	51.0
CH	46.6353	8.5692	69.0
CH	46.5853	8.5525	86.0
CH	46.6675	8.7358	72.0
CH	46.5844	8.8	56.0
CH	46.4672	8.8175	49.0
CH	46.4183	9.0181	57.0
CH	46.4175	8.8517	79.0
CH	46.2519	8.1017	48.0
CH	46.2667	8.1006	62.0
CH	46.2675	8.0856	75.0
CH	46.1689	8.6339	48.0
CH	46.2175	8.6344	64.0
CH	46.2519	8.635	80.0
CH	46.1358	8.685	48.0
CH	46.1506	8.6686	38.0
CH	46.1514	8.6522	28.0
CH	46.7522	10.1017	46.0
CH	46.8183	9.9675	49.0
CH	47.8503	7.6336	70.0
CH	47.4689	7.0183	109.0
CH	46.2014	6.3511	82.0
CH	47.4522	8.2186	179.0
CH	47.0847	7.4192	93.0
CH	45.7667	5.9025	46.0
CH	47.2667	8.6	125.0
CH	47.2519	8.6333	109.0
CH	47.2672	8.6167	111.0
CH	47.2689	8.6	113.0
CH	47.1	8.5	123.0
CH	47.0839	8.5008	105.0
CH	47.0842	8.485	98.0
CH	47.0844	8.4856	110.0
CH	47.0844	8.5006	113.0
CH	47.0847	8.4833	124.0
CH	47.0847	8.5014	125.0
CH	47.0856	8.4839	98.0
CH	46.9833	8.4833	117.0
CH 1	46.9519	8.6006	67.0
CH 1	46.9672	8.5517	69.0
CH 1	46.9689	8.5167	71.0
CH 1	45.95	9.1667	103.0
CH 1	45.7167	10.0667	107.0
CH 1	45.7	10.7333	119.0
CH 1	45.9833	8.6667	128.0
